#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""05.05.2023 18:00"";""-4.2"";""763.0"";"""";"""";""88"";""Ветер, дующий с севера"";""7"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-1.0"";"""";"""";"""";"""";"""";""20.0"";"""";""1.0"";""12"";"""";"""";"""";""""",,,,,,
"""05.05.2023 15:00"";""-4.2"";""761.7"";""762.4"";"""";""87"";""Ветер, дующий с севера"";""7"";"""";""19"";""100%."";""Снег с перерывами умеренный в срок наблюдения. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""-6.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 12:00"";""-4.2"";""759.0"";"""";"""";""91"";""Ветер, дующий с севера"";""9"";""19"";"""";""100%."";""Ливневый снег умеренный или сильный в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 09:00"";""-3.1"";""755.0"";"""";"""";""96"";""Ветер, дующий с севера"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 06:00"";""-1.8"";""752.7"";""753.4"";"""";""99"";""Ветер, дующий с юго-запада"";""9"";""10"";""10"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Снег и/или другие виды твердых осадков"";""-4.3"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""20.0"";""-2.0""","""1.0""","""12""","""""","""""","""Неровный слой слежавшегося или мокрого снега покрывает почву полностью.""","""96.0"""
"""05.05.2023 03:00"";""-1.6"";""752.0"";"""";"""";""99"";""Ветер, дующий с юго-запада"";""6"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""05.05.2023 00:00"";""-3.1"";""752.0"";"""";"""";""98"";""Ветер, дующий с юго-запада"";""6"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 21:00"";""-0.2"";""752.0"";"""";"""";""99"";""Ветер, дующий с юга"";""3"";"""";"""";""100%."";""Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""04.05.2023 18:00"";""0.0"";""752.0"";"""";"""";""99"";""Ветер, дующий с юго-запада"";""8"";"""";"""";""100%."";""Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";""1.4"";"""";"""";"""";"""";"""";""4.0"";"""";""1.0"";""12"";"""";"""";"""";""""",,,,,,
"""04.05.2023 15:00"";""1.1"";""751.0"";"""";"""";""95"";""Ветер, дующий с юга"";""7"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
